input_file,k,nmf_score,kmeans_score
input_1.txt,2,0.8858,0.8858
input_1.txt,3,0.5971,0.5972
input_1.txt,4,0.496,0.5081
input_1.txt,5,0.2611,0.4568
input_1.txt,6,0.2862,0.4563
input_1.txt,7,0.2328,0.4629
input_1.txt,8,0.4506,0.4539
input_1.txt,9,0.2277,0.4559
input_1.txt,10,0.2165,0.4553
input_2.txt,2,0.1935,0.3479
input_2.txt,3,0.2365,0.4802
input_2.txt,4,0.3214,0.4888
input_2.txt,5,0.4767,0.5736
input_2.txt,6,0.4042,0.6842
input_2.txt,7,0.4918,0.7521
input_2.txt,8,0.4157,0.6514
input_2.txt,9,0.5893,0.5638
input_2.txt,10,0.4657,0.4859
input_3.txt,2,0.0878,0.3129
input_3.txt,3,0.0928,0.3396
input_3.txt,4,0.1439,0.4093
